experiment,run_name,started_at_utc,finished_at_utc,status,meta/params_total,meta/params_model,meta/params_generator,meta/params_discriminator,val/loss,val/g_total,val/g_adv,val_psnr/mean,val_structural/ssim,val_spectral/ergas,val_physics/grad_mae,val_physics/max_ae,val_mae/P,val_mae/ST,val_mae/SB,kpi_pass_ratio,kpi_status
mdsr_baseline,mdsr_baseline,2026-05-24T10:18:34+00:00,2026-05-24T10:40:01+00:00,FINISHED,,,,,0.00242153,,,43.3118,0.540722,0.394152,0.000917761,1.93024,0.00399478,0.00160583,0.00166399,3/5,warn
mdsr_baseline,mdsr_baseline,2026-05-24T10:49:32+00:00,2026-05-24T11:00:56+00:00,FINISHED,,,,,0.0016173,,,44.6571,0.4851,0.366542,0.00111988,1.73873,0.00335531,0.0019832,0.00186613,3/5,warn
srresnet_baseline,srresnet_baseline,2026-05-24T11:29:29+00:00,2026-05-24T11:46:14+00:00,FINISHED,,,,,0.00345868,,,39.4826,0.482034,0.684264,0.00299493,2.23477,0.00445123,0.0027978,0.00312701,3/5,warn
mdsr_baseline,mdsr_baseline,2026-05-24T16:41:42+00:00,2026-05-24T17:12:27+00:00,FINISHED,,,,,0.00142694,,,46.9199,0.548271,0.27165,0.000644022,1.30408,0.00274648,0.000757592,0.000776749,3/5,warn
srresnet_baseline,srresnet_baseline,2026-05-24T17:26:05+00:00,2026-05-24T17:51:12+00:00,FINISHED,,,,,0.00228208,,,44.9157,0.558689,0.379789,0.00194978,1.61956,0.0032085,0.0018949,0.00174284,3/5,warn
rfdn_baseline,rfdn_baseline,2026-05-24T17:52:19+00:00,2026-05-24T18:30:49+00:00,FINISHED,,,,,0.00155224,,,46.1106,0.50453,0.30961,0.000826596,1.59306,0.00288684,0.000926264,0.000872451,3/5,warn
gan_srresnet,gan_srresnet,2026-05-27T18:58:15+00:00,2026-05-27T19:58:45+00:00,FINISHED,,,,,0.00219266,0.0233694,,46.1403,0.549991,0.344957,0.00169397,1.3964,0.00303526,0.00175477,0.00178794,3/5,warn
mdsr_baseline,mdsr_baseline,2026-05-31T10:54:26+00:00,2026-05-31T11:24:55+00:00,FINISHED,,,,,0.00151538,,,46.8443,0.548035,0.278381,0.000720324,1.30494,0.00271952,0.000871535,0.00100898,3/5,warn
mdsr_baseline,mdsr_baseline,2026-05-31T12:33:02+00:00,2026-05-31T13:32:41+00:00,FINISHED,,,,,0.00153334,,,46.8443,0.548035,0.278381,0.000720324,1.30494,0.00271952,0.000871535,0.00100898,3/5,warn
gan_srresnet,gan_srresnet,2026-05-31T12:32:57+00:00,2026-05-31T13:47:27+00:00,FINISHED,,,,,0.00232675,0.00543237,,45.5389,0.568316,0.369626,0.00181397,1.45196,0.00318333,0.00200488,0.00179205,3/5,warn
gan_srresnet,gan_srresnet,2026-05-31T14:02:16+00:00,2026-05-31T14:36:44+00:00,FINISHED,,,,,0.00229701,0.00538628,,45.5211,0.563867,0.367716,0.00184959,1.46941,0.00309904,0.00202369,0.0017683,3/5,warn
gan_srresnet,gan_srresnet,2026-05-31T14:38:11+00:00,2026-05-31T16:07:02+00:00,FINISHED,,,,,0.00223229,0.00516621,,45.9854,0.589729,0.353083,0.00165069,1.38024,0.00315685,0.0018422,0.00169781,3/5,warn
